purchase_order,product_name,quantity,unit_price,measurement_unit,currency
2405023  - 10000052,CERTIFICADOR FLUKE PARA FIBRA OPTICA Y CABLES DE COBRE CON PRUEBAS OLTS Y OTDR EN MM/SM INCLUYE MICROSCOPIO DE INSP,1.0,32897.29,unit,USD
2405023  - 10000052,REEMPLAZO UNIDAD PRINCIPAL FLUKE VERSIV2 CON WIFI ,1.0,2483.48,unit,USD
2405023  - 10000052,VERSIV2 REMOTE REPLACEMENT FLUKE ,1.0,1923.83,unit,USD
2405023  - 10000052,"FIBER INSPECTOR FLUKE PRO VIDEO MICROSCOPIO CON ADAPTADORES SC, LC, 2.5 Y 1.25MM PARA EQUIPOS VERSIV",1.0,2050.71,unit,USD
10000121,SERVICIO DE TAPIZADOS DE SILLAS OFICINA ADMINISTRACION ,9.0,170.0,unit,PEN
10000146,SERVIDOR DELL POWEREDGE R660XS ,2.0,16098.52,unit,USD
10000146,STORAGE ARRAY DELL MESO12 ,1.0,14897.08,unit,USD
10000146,EXPANSION ENCLOSURE DELL EMC ME412 ,1.0,6474.57,unit,USD
10000212,MINICONVERSOR DE MEDIOS SPM-ERT2X-PXX - MINI 1-PORT 10/100/1000BASE-TX TO 10/100/1000BASE FX MEDIA CONVERTER,14.0,65.0,unit,USD
10000212,"TRANSCEIVER SFP 850NM- SPT-P851G-S5D 1.25GBPS, 550M, 0ºC~ +70ºC,DD",14.0,30.0,unit,USD
10000221,WINCHA ELECTRONICA BOSCH DE 30 MT GLM 30-23 ,2.0,400.42,unit,
10000221,WINCHA DE MEDICION TRUPER CONTRA IMPACTO X 10 MT ,2.0,51.48,unit,
10000223,NOTEBOOK DELL LATITUDE 5540 R09Y3 CORE I7 16GB WINDOWS 11 PRO,20.0,1008.0,unit,USD
10000225,NOTEBOOK DELL G15 5530 INTEL CORE I7 16 GB DDR5-SDRAM 1 TB SSD,18.0,1345.0,unit,USD
10000229,DISCO DURO SOLIDO TEAM GROUP 1TB MP33 M.2 PCI3X4 ,2.0,48.3,unit,USD
10000242,MONITOR ASUS VZ27EHF DE 27” LED IPS FHD 1920X1080 100HZ HDMI X 1,1.0,103.0,unit,USD
10000247,COOLER MSI MAG CLIQUID E360 WH ,1.0,97.0,unit,USD
10000247,PROCESADOR AMD RYZEN5 7600X 4.70GZ ,1.0,205.0,unit,USD
10000247,CASE MSATX MAG FORCE 120A AIRFL ,1.0,44.7,unit,USD
10000247,MAINBOARD GB A620M GAMING X SVL DDR5 ,1.0,107.0,unit,USD
10000247,MEMORIA RAM 16G KF BEST 5.20G DR5 ,2.0,43.5,unit,USD
10000247,FUENTE DE PODER PSU MAG A650GL 80+ GOLD ,1.0,59.3,unit,USD
10000247,DISCO DURO SOLIDO LENOVO LN950 2TB NVME ,1.0,108.7,unit,USD
10000247,TARJETA GRAFICA VGA 8G MS RTX4060 V2X GDDR6 ,1.0,274.0,unit,USD
10000247,LICENCIA WIN 11 PRO 64BIT SPANISH LATAM OEM DVD ,1.0,130.0,unit,USD
10000250,PROYECTOR VIEWSONIC LS740W 1280 X 800 FULL HD HDMI-USB ,301.0,799.0,unit,USD
10000250,ADAPTADOR INALAMBRICO VIEWSONIC WPD-700 PARA PROYECCION DE VIDEO,301.0,51.0,unit,USD
10000250,SERVIDOR DELL POWEREDGE R250ERH1Y24V1 R250 INTEL XEON E2324 3.10GHZ 16GB 4TB,9.0,1708.36,unit,USD
10000250,MEMORIA RAM DELL AB675793 16GB UDIMM DDR4 3200MGHZ ,9.0,220.0,unit,USD
10000250,DISCO DURO DELL 400-BLLF 4TB SATA III 3.5” 6GBIT/S 7.2K RPM 512N,9.0,250.2,unit,USD
10000250,LICENCIA WINDOWS 634-BYKR SERVER 2022 STANDARD ROK 16 CORE ,9.0,806.47,unit,USD
10000250,WORKSTATION LENOVO THINKSTATION P3 30GU001ALM-1 CORE 19-1390 13A GEN TECNOLOGHIA VPRO 16GB-512GB SSD WINDOWS 11 PRO,2.0,1949.09,unit,USD
10000250,IMPRESORA HP 5HB08A DESINGJET T650 24” PARA PLOTER DE GRAN FORMATO A INYECCION DE TINTA,2.0,965.0,unit,USD
10000250,TABLET LENOVO ZAAF0072PE TAB M10 HD (3ER GEN) 10.1” WUXGA 1920X1200 IPS 10 POINT MULTI TOUCH,80.0,131.43,unit,USD
10000251,IMPRESORA BROTHER MFC-T4500DW MULTIFUNCIONAL A3 DUPLEX ADF INALAMBRICA,31.0,537.41,unit,USD
10000251,PLOTTER CON ESCANER INCORPORADOR BROTHER SCANNCUT SDX225 ,2.0,399.17,unit,USD
10000252,IMPRESORA MULTIFUNCIONAL EPSON C11CK57301 L5590 WI FI 4 EN 1 ,100.0,218.09,unit,USD
10000253,PANTALLA INTERACTIVA VIEWBOARD IFP7533-G DE 75” 4K ,4.0,1400.0,unit,USD
10000253,MODULO INALAMBRICO WI-FI VIEWSONIC VB-WIFI-004 DE DOBLE BAND OPCIONAL PARA PANTALLAS INTERACTIVAS VIEWBOARD,4.0,39.0,unit,USD
10000253,RACK SOPORTE WMK-047-2 PARA PANTALLA INTECTIVA VIEWSONIC ,4.0,39.0,unit,USD
10000253,OPS VPCF5-W55-G1-2A CON RANURA PARA PANTALLA INTERACTIVA VIEWBOARD,4.0,590.0,unit,USD
10000254,SWITCH ARUBA JL558A 2930F 48 G PoE+ 4SFP+ 740 W ,9.0,2579.63,unit,USD
