po_number,code_art,product_name,quantity,measurement_unit,unit_price,comment
2405023  - 10000052,CERTIFICADORFLUKEPARAFIBRAOPTICAYCABLESD_DA1B11A9,CERTIFICADOR FLUKE PARA FIBRA OPTICA Y CABLES DE COBRE CON PRUEBAS OLTS Y OTDR EN MM/SM INCLUYE MICROSCOPIO DE INSP,1,unidades,32897.29,
2405023  - 10000052,REEMPLAZOUNIDADPRINCIPALFLUKEVERSIV2CONW_DA6AF1FF,REEMPLAZO UNIDAD PRINCIPAL FLUKE VERSIV2 CON WIFI,1,unidades,2483.48,
2405023  - 10000052,VERSIV2REMOTEREPLACEMENTFLUKE_1AFF1063,VERSIV2 REMOTE REPLACEMENT FLUKE,1,unidades,1923.83,
2405023  - 10000052,FIBERINSPECTORFLUKEPROVIDEOMICROSCOPIOCO_D9EDFBCA,"FIBER INSPECTOR FLUKE PRO VIDEO MICROSCOPIO CON ADAPTADORES SC, LC, 2.5 Y 1.25MM PARA EQUIPOS VERSIV",1,unidades,2050.71,
10000121,SERVICIODETAPIZADOSDESILLASOFICINAADMINI_AAAFF563,SERVICIO DE TAPIZADOS DE SILLAS OFICINA ADMINISTRACION,9,unidades,170.0,
10000146,SERVIDORDELLPOWEREDGER660XS_1D926867,SERVIDOR DELL POWEREDGE R660XS,2,unidades,16098.52,
10000146,STORAGEARRAYDELLMESO12_2EB6842F,STORAGE ARRAY DELL MESO12,1,unidades,14897.08,
10000146,EXPANSIONENCLOSUREDELLEMCME412_97E4800B,EXPANSION ENCLOSURE DELL EMC ME412,1,unidades,6474.57,
10000212,MINICONVERSORDEMEDIOSSPMERT2XPXXMINI1POR_4698A9E5,MINICONVERSOR DE MEDIOS SPM-ERT2X-PXX - MINI 1-PORT 10/100/1000BASE-TX TO 10/100/1000BASE FX MEDIA CONVERTER,14,unidades,65.0,
10000212,TRANSCEIVERSFP850NMSPTP851GS5D125GBPS550_4FB87378,"TRANSCEIVER SFP 850NM- SPT-P851G-S5D 1.25GBPS, 550M, 0ºC~ +70ºC,DD",14,unidades,30.0,
10000221,WINCHAELECTRONICABOSCHDE30MTGLM3023_1D35455C,WINCHA ELECTRONICA BOSCH DE 30 MT GLM 30-23,2,unidades,400.42,
10000221,WINCHADEMEDICIONTRUPERCONTRAIMPACTOX10MT_D2617807,WINCHA DE MEDICION TRUPER CONTRA IMPACTO X 10 MT,2,unidades,51.48,
10000223,NOTEBOOKDELLLATITUDE5540R09Y3COREI716GBW_AFDC61FA,NOTEBOOK DELL LATITUDE 5540 R09Y3 CORE I7 16GB WINDOWS 11 PRO,20,unidades,1008.0,
10000225,NOTEBOOKDELLG155530INTELCOREI716GBDDR5SD_E7C946EA,NOTEBOOK DELL G15 5530 INTEL CORE I7 16 GB DDR5-SDRAM 1 TB SSD,18,unidades,1345.0,
10000229,DISCODUROSOLIDOTEAMGROUP1TBMP33M2PCI3X4_9D7859BC,DISCO DURO SOLIDO TEAM GROUP 1TB MP33 M.2 PCI3X4,2,unidades,48.3,
10000242,MONITORASUSVZ27EHFDE27LEDIPSFHD1920X1080_CFE690A7,MONITOR ASUS VZ27EHF DE 27” LED IPS FHD 1920X1080 100HZ HDMI X 1,1,unidades,103.0,
10000247,COOLERMSIMAGCLIQUIDE360WH_47135DCA,COOLER MSI MAG CLIQUID E360 WH,1,unidades,97.0,
10000247,PROCESADORAMDRYZEN57600X470GZ_014CBBCF,PROCESADOR AMD RYZEN5 7600X 4.70GZ,1,unidades,205.0,
10000247,CASEMSATXMAGFORCE120AAIRFL_17BA0940,CASE MSATX MAG FORCE 120A AIRFL,1,unidades,44.7,
10000247,MAINBOARDGBA620MGAMINGXSVLDDR5_F1F157E0,MAINBOARD GB A620M GAMING X SVL DDR5,1,unidades,107.0,
10000247,MEMORIARAM16GKFBEST520GDR5_92FAC694,MEMORIA RAM 16G KF BEST 5.20G DR5,2,unidades,43.5,
10000247,FUENTEDEPODERPSUMAGA650GL80GOLD_654B1066,FUENTE DE PODER PSU MAG A650GL 80+ GOLD,1,unidades,59.3,
10000247,DISCODUROSOLIDOLENOVOLN9502TBNVME_0DF4453B,DISCO DURO SOLIDO LENOVO LN950 2TB NVME,1,unidades,108.7,
10000247,TARJETAGRAFICAVGA8GMSRTX4060V2XGDDR6_C66D5E3A,TARJETA GRAFICA VGA 8G MS RTX4060 V2X GDDR6,1,unidades,274.0,
10000247,LICENCIAWIN11PRO64BITSPANISHLATAMOEMDVD_64D381B1,LICENCIA WIN 11 PRO 64BIT SPANISH LATAM OEM DVD,1,unidades,130.0,
10000250,PROYECTORVIEWSONICLS740W1280X800FULLHDHD_0BA42D1D,PROYECTOR VIEWSONIC LS740W 1280 X 800 FULL HD HDMI-USB,301,unidades,799.0,
10000250,ADAPTADORINALAMBRICOVIEWSONICWPD700PARAP_D626E99B,ADAPTADOR INALAMBRICO VIEWSONIC WPD-700 PARA PROYECCION DE VIDEO,301,unidades,51.0,
10000250,SERVIDORDELLPOWEREDGER250ERH1Y24V1R250IN_C223ADFB,SERVIDOR DELL POWEREDGE R250ERH1Y24V1 R250 INTEL XEON E2324 3.10GHZ 16GB 4TB,9,unidades,1708.36,
10000250,MEMORIARAMDELLAB67579316GBUDIMMDDR43200M_FB9A1DDB,MEMORIA RAM DELL AB675793 16GB UDIMM DDR4 3200MGHZ,9,unidades,220.0,
10000250,DISCODURODELL400BLLF4TBSATAIII356GBITS72_BD697B68,DISCO DURO DELL 400-BLLF 4TB SATA III 3.5” 6GBIT/S 7.2K RPM 512N,9,unidades,250.2,
10000250,LICENCIAWINDOWS634BYKRSERVER2022STANDARD_E9FA07FA,LICENCIA WINDOWS 634-BYKR SERVER 2022 STANDARD ROK 16 CORE,9,unidades,806.47,
10000250,WORKSTATIONLENOVOTHINKSTATIONP330GU001AL_C298D5FB,WORKSTATION LENOVO THINKSTATION P3 30GU001ALM-1 CORE 19-1390 13A GEN TECNOLOGHIA VPRO 16GB-512GB SSD WINDOWS 11 PRO,2,unidades,1949.09,
10000250,IMPRESORAHP5HB08ADESINGJETT65024PARAPLOT_B49420F4,IMPRESORA HP 5HB08A DESINGJET T650 24” PARA PLOTER DE GRAN FORMATO A INYECCION DE TINTA,2,unidades,965.0,
10000250,TABLETLENOVOZAAF0072PETABM10HD3ERGEN101W_497E934E,TABLET LENOVO ZAAF0072PE TAB M10 HD (3ER GEN) 10.1” WUXGA 1920X1200 IPS 10 POINT MULTI TOUCH,80,unidades,131.43,
10000251,IMPRESORABROTHERMFCT4500DWMULTIFUNCIONAL_F9D79068,IMPRESORA BROTHER MFC-T4500DW MULTIFUNCIONAL A3 DUPLEX ADF INALAMBRICA,31,unidades,537.41,
10000251,PLOTTERCONESCANERINCORPORADORBROTHERSCAN_F584B7F1,PLOTTER CON ESCANER INCORPORADOR BROTHER SCANNCUT SDX225,2,unidades,399.17,
10000252,IMPRESORAMULTIFUNCIONALEPSONC11CK57301L5_1DD8DC5A,IMPRESORA MULTIFUNCIONAL EPSON C11CK57301 L5590 WI FI 4 EN 1,100,unidades,218.09,
10000253,PANTALLAINTERACTIVAVIEWBOARDIFP7533GDE75_8D9EE6D0,PANTALLA INTERACTIVA VIEWBOARD IFP7533-G DE 75” 4K,4,unidades,1400.0,
10000253,MODULOINALAMBRICOWIFIVIEWSONICVBWIFI004D_D41637B2,MODULO INALAMBRICO WI-FI VIEWSONIC VB-WIFI-004 DE DOBLE BAND OPCIONAL PARA PANTALLAS INTERACTIVAS VIEWBOARD,4,unidades,39.0,
10000253,RACKSOPORTEWMK0472PARAPANTALLAINTECTIVAV_59FEBE98,RACK SOPORTE WMK-047-2 PARA PANTALLA INTECTIVA VIEWSONIC,4,unidades,39.0,
10000253,OPSVPCF5W55G12ACONRANURAPARAPANTALLAINTE_34242A7F,OPS VPCF5-W55-G1-2A CON RANURA PARA PANTALLA INTERACTIVA VIEWBOARD,4,unidades,590.0,
10000254,SWITCHARUBAJL558A2930F48GPOE4SFP740W_11E89769,SWITCH ARUBA JL558A 2930F 48 G PoE+ 4SFP+ 740 W,9,unidades,2579.63,
10000254,LICENCIAARUBACENTRALQ9Y73AAEPOR1AÑOPARAA_3161B2F6,LICENCIA ARUBA CENTRAL Q9Y73AAE POR 1 AÑO PARA ARUBA 2930F,9,unidades,140.76,
10000255,GABINETEDEPAREDDE04RU_156F887C,GABINETE DE PARED DE 04RU,8,unidades,136.0,
10000255,BANDEJADE1RUDE23CMDEPROFUNDIDADCONPESTAÑ_ED90F15A,BANDEJA DE 1RU DE 23 CM DE PROFUNDIDAD CON PESTAÑAS HACIA ARRIBA Y 4 OREJAS 2 REMOVIBLES,8,unidades,23.0,
10000256,PANTALLADIGITALXPPENARTIST156PROV2_CBBA8D28,PANTALLA DIGITAL XP-PEN ARTIST 15.6 PRO V2,42,unidades,345.76,
10000258,RACKDECANASTILLAPARAPROYECTORALTO65A120C_368B5B6F,RACK DE CANASTILLA PARA PROYECTOR ALTO 65 A 120CM REGULABLE ANCHO DE 21.5 A 35.5CM PROFUNDIDAD 20CM INCLINACION 45° NEGR,269,unidades,75.42,
10000265,SERVICIODEFUMIGACIONDESINSECTACIONDESIFE_15A29382,SERVICIO DE FUMIGACION (DESINSECTACION + DESIFECCION + DESRATIZACION),1,unidades,340.0,
10000269,ECRANRETRACTILPRODIMER200X150MTSANTIREFL_2222A9BB,ECRAN RETRACTIL PRODIMER 2.00 X 1.50 MTS ANTIREFLEX (EC-01),90,unidades,279.65,
10000269,ECRANCONTRIPODEPRODIMERFIBRADEVIDRIO200X_142491F5,ECRAN CON TRIPODE PRODIMER FIBRA DE VIDRIO 2.00 X 1.50MTS ANTIREFLEX (EC-P),25,unidades,508.47,
10000269,ECRANRETRACTILPRODIMER180X180MTSANTIREFL_EA43F690,ECRAN RETRACTIL PRODIMER 1.80  X 1.80MTS ANTIREFLEX (EC-03),2,unidades,296.6,
10000269,ECRANRETRACTILPRODIMERFIBRADEVIDRIO98200_9EDFF045,ECRAN RETRACTIL PRODIMER FIBRA DE VIDRIO 98” 2.00 X 1.50MTS ANTIREFLEX (EC-02),25,unidades,635.58,
10000269,ECRANRETRACTILPRODIMER305X172MTANTIREFLE_078F5C9A,ECRAN RETRACTIL  PRODIMER 3.05 X 1.72MT ANTIREFLEX EC-01,157,unidades,720.33,
10000269,ECRANDOBLETRIPODEPRODIMER305X172MTANTIRE_2B7B83A1,ECRAN DOBLE TRIPODE PRODIMER 3.05 X 1.72MT ANTIREFLEX,1,unidades,1101.69,
10000269,PIZARRADIGITALINTERACTIVAPDI82168X120MTS_8C811119,PIZARRA DIGITAL INTERACTIVA PDI-82 1.68 X 1.20 MTS (PI-01),22,unidades,2711.86,
