code_art,part_number,descrip,ruc_supplier,manufac,model,cost
CERTIFICADORFLUKEPARAFIBRAOPTICAYCABLESD_DA1B11A9,CERTIFICADOR FLUKE PARA FIBRA OPTICA Y CABLES DE COBRE CON PRUEBAS OLTS Y OTDR EN MM/SM INCLUYE MICR,CERTIFICADOR FLUKE PARA FIBRA OPTICA Y CABLES DE COBRE CON PRUEBAS OLTS Y OTDR EN MM/SM INCLUYE MICROSCOPIO DE INSP,99999999999,GENERIC,,0.00
REEMPLAZOUNIDADPRINCIPALFLUKEVERSIV2CONW_DA6AF1FF,REEMPLAZO UNIDAD PRINCIPAL FLUKE VERSIV2 CON WIFI,REEMPLAZO UNIDAD PRINCIPAL FLUKE VERSIV2 CON WIFI,99999999999,GENERIC,,0.00
VERSIV2REMOTEREPLACEMENTFLUKE_1AFF1063,VERSIV2 REMOTE REPLACEMENT FLUKE,VERSIV2 REMOTE REPLACEMENT FLUKE,99999999999,GENERIC,,0.00
FIBERINSPECTORFLUKEPROVIDEOMICROSCOPIOCO_D9EDFBCA,"FIBER INSPECTOR FLUKE PRO VIDEO MICROSCOPIO CON ADAPTADORES SC, LC, 2.5 Y 1.25MM PARA EQUIPOS VERSIV","FIBER INSPECTOR FLUKE PRO VIDEO MICROSCOPIO CON ADAPTADORES SC, LC, 2.5 Y 1.25MM PARA EQUIPOS VERSIV",99999999999,GENERIC,,0.00
SERVICIODETAPIZADOSDESILLASOFICINAADMINI_AAAFF563,SERVICIO DE TAPIZADOS DE SILLAS OFICINA ADMINISTRACION,SERVICIO DE TAPIZADOS DE SILLAS OFICINA ADMINISTRACION,99999999999,GENERIC,,0.00
SERVIDORDELLPOWEREDGER660XS_1D926867,SERVIDOR DELL POWEREDGE R660XS,SERVIDOR DELL POWEREDGE R660XS,99999999999,GENERIC,,0.00
STORAGEARRAYDELLMESO12_2EB6842F,STORAGE ARRAY DELL MESO12,STORAGE ARRAY DELL MESO12,99999999999,GENERIC,,0.00
EXPANSIONENCLOSUREDELLEMCME412_97E4800B,EXPANSION ENCLOSURE DELL EMC ME412,EXPANSION ENCLOSURE DELL EMC ME412,99999999999,GENERIC,,0.00
MINICONVERSORDEMEDIOSSPMERT2XPXXMINI1POR_4698A9E5,MINICONVERSOR DE MEDIOS SPM-ERT2X-PXX - MINI 1-PORT 10/100/1000BASE-TX TO 10/100/1000BASE FX MEDIA C,MINICONVERSOR DE MEDIOS SPM-ERT2X-PXX - MINI 1-PORT 10/100/1000BASE-TX TO 10/100/1000BASE FX MEDIA CONVERTER,99999999999,GENERIC,,0.00
TRANSCEIVERSFP850NMSPTP851GS5D125GBPS550_4FB87378,"TRANSCEIVER SFP 850NM- SPT-P851G-S5D 1.25GBPS, 550M, 0ºC~ +70ºC,DD","TRANSCEIVER SFP 850NM- SPT-P851G-S5D 1.25GBPS, 550M, 0ºC~ +70ºC,DD",99999999999,GENERIC,,0.00
WINCHAELECTRONICABOSCHDE30MTGLM3023_1D35455C,WINCHA ELECTRONICA BOSCH DE 30 MT GLM 30-23,WINCHA ELECTRONICA BOSCH DE 30 MT GLM 30-23,99999999999,GENERIC,,0.00
WINCHADEMEDICIONTRUPERCONTRAIMPACTOX10MT_D2617807,WINCHA DE MEDICION TRUPER CONTRA IMPACTO X 10 MT,WINCHA DE MEDICION TRUPER CONTRA IMPACTO X 10 MT,99999999999,GENERIC,,0.00
NOTEBOOKDELLLATITUDE5540R09Y3COREI716GBW_AFDC61FA,NOTEBOOK DELL LATITUDE 5540 R09Y3 CORE I7 16GB WINDOWS 11 PRO,NOTEBOOK DELL LATITUDE 5540 R09Y3 CORE I7 16GB WINDOWS 11 PRO,99999999999,GENERIC,,0.00
NOTEBOOKDELLG155530INTELCOREI716GBDDR5SD_E7C946EA,NOTEBOOK DELL G15 5530 INTEL CORE I7 16 GB DDR5-SDRAM 1 TB SSD,NOTEBOOK DELL G15 5530 INTEL CORE I7 16 GB DDR5-SDRAM 1 TB SSD,99999999999,GENERIC,,0.00
DISCODUROSOLIDOTEAMGROUP1TBMP33M2PCI3X4_9D7859BC,DISCO DURO SOLIDO TEAM GROUP 1TB MP33 M.2 PCI3X4,DISCO DURO SOLIDO TEAM GROUP 1TB MP33 M.2 PCI3X4,99999999999,GENERIC,,0.00
MONITORASUSVZ27EHFDE27LEDIPSFHD1920X1080_CFE690A7,MONITOR ASUS VZ27EHF DE 27” LED IPS FHD 1920X1080 100HZ HDMI X 1,MONITOR ASUS VZ27EHF DE 27” LED IPS FHD 1920X1080 100HZ HDMI X 1,99999999999,GENERIC,,0.00
COOLERMSIMAGCLIQUIDE360WH_47135DCA,COOLER MSI MAG CLIQUID E360 WH,COOLER MSI MAG CLIQUID E360 WH,99999999999,GENERIC,,0.00
PROCESADORAMDRYZEN57600X470GZ_014CBBCF,PROCESADOR AMD RYZEN5 7600X 4.70GZ,PROCESADOR AMD RYZEN5 7600X 4.70GZ,99999999999,GENERIC,,0.00
CASEMSATXMAGFORCE120AAIRFL_17BA0940,CASE MSATX MAG FORCE 120A AIRFL,CASE MSATX MAG FORCE 120A AIRFL,99999999999,GENERIC,,0.00
MAINBOARDGBA620MGAMINGXSVLDDR5_F1F157E0,MAINBOARD GB A620M GAMING X SVL DDR5,MAINBOARD GB A620M GAMING X SVL DDR5,99999999999,GENERIC,,0.00
MEMORIARAM16GKFBEST520GDR5_92FAC694,MEMORIA RAM 16G KF BEST 5.20G DR5,MEMORIA RAM 16G KF BEST 5.20G DR5,99999999999,GENERIC,,0.00
FUENTEDEPODERPSUMAGA650GL80GOLD_654B1066,FUENTE DE PODER PSU MAG A650GL 80+ GOLD,FUENTE DE PODER PSU MAG A650GL 80+ GOLD,99999999999,GENERIC,,0.00
DISCODUROSOLIDOLENOVOLN9502TBNVME_0DF4453B,DISCO DURO SOLIDO LENOVO LN950 2TB NVME,DISCO DURO SOLIDO LENOVO LN950 2TB NVME,99999999999,GENERIC,,0.00
TARJETAGRAFICAVGA8GMSRTX4060V2XGDDR6_C66D5E3A,TARJETA GRAFICA VGA 8G MS RTX4060 V2X GDDR6,TARJETA GRAFICA VGA 8G MS RTX4060 V2X GDDR6,99999999999,GENERIC,,0.00
LICENCIAWIN11PRO64BITSPANISHLATAMOEMDVD_64D381B1,LICENCIA WIN 11 PRO 64BIT SPANISH LATAM OEM DVD,LICENCIA WIN 11 PRO 64BIT SPANISH LATAM OEM DVD,99999999999,GENERIC,,0.00
