po_number,project_code,issue_date,currency,exchange_rate,local_import
2405023  - 10000052,,2024-05-24,USD,1.0,local
10000121,,2024-08-08,USD,1.0,local
10000146,,2024-08-21,USD,1.0,local
10000212,,2024-10-15,USD,1.0,local
10000221,,2024-10-22,USD,1.0,local
10000223,,2024-10-22,USD,1.0,local
10000225,,2024-10-22,USD,1.0,local
10000229,,2024-10-24,USD,1.0,local
10000242,,2024-10-31,USD,1.0,local
10000247,,2024-10-31,USD,1.0,local
10000250,,2024-11-04,USD,1.0,local
10000251,,2024-11-04,USD,1.0,local
10000252,,2024-11-04,USD,1.0,local
10000253,,2024-11-04,USD,1.0,local
10000254,,2024-11-05,USD,1.0,local
10000255,,2024-11-05,USD,1.0,local
10000256,,2024-11-06,USD,1.0,local
10000258,,2024-11-06,USD,1.0,local
10000265,,2024-11-08,USD,1.0,local
10000269,,2024-11-09,USD,1.0,local
10000270,,2024-11-09,USD,1.0,local
10000271,,2024-11-09,USD,1.0,local
10000273,,2024-11-09,USD,1.0,local
10000274,,2024-11-11,USD,1.0,local
10000275,,2024-11-11,USD,1.0,local
10000279,,2024-11-11,USD,1.0,local
10000292,,2024-11-14,USD,1.0,local
10000297,,2024-11-18,USD,1.0,local
10000298,,2024-11-18,USD,1.0,local
10000311,,2024-11-21,USD,1.0,local
10000312,,2024-11-21,USD,1.0,local
10000318,,2024-11-27,USD,1.0,local
10000319,,2024-11-28,USD,1.0,local
10000333,,2024-12-04,USD,1.0,local
10000347,,2024-12-07,USD,1.0,local
10000348,,2024-12-14,USD,1.0,local
10000363,,2024-12-17,USD,1.0,local
10000364,,2024-12-17,USD,1.0,local
10000365,,2024-12-17,USD,1.0,local
10000366,,2024-12-17,USD,1.0,local
10000370,,2024-12-17,USD,1.0,local
10000371,,2024-12-17,USD,1.0,local
10000386,,2024-12-26,USD,1.0,local
10000387,,2024-12-28,USD,1.0,local
10000389,,2025-01-03,USD,1.0,local
10000390,,2025-01-03,USD,1.0,local
10000391,,2025-01-03,USD,1.0,local
10000392,,2025-01-03,USD,1.0,local
10000393,,2025-01-06,USD,1.0,local
10000394,,2025-01-07,USD,1.0,local
10000395,,2025-01-07,USD,1.0,local
10000396,,2025-01-07,USD,1.0,local
10000397,,2025-01-07,USD,1.0,local
10000398,,2025-01-09,USD,1.0,local
10000399,,2025-01-09,USD,1.0,local
10000400,,2025-01-10,USD,1.0,local
