po_number,project,issue_date,initial_delivery_date,final_delivery_date,currency,exchange_rate,local_import,te,forma_pago,pagar_a,guide_number,guide_date,observations,po_status,total_amount
2405023  - 10000052,,2024-05-24,2024-05-24,2024-05-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000121,,2024-08-08,2024-08-08,2024-08-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000146,,2024-08-21,2024-08-21,2024-08-21,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000212,,2024-10-15,2024-10-15,2024-10-15,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000221,,2024-10-22,2024-10-22,2024-10-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000223,,2024-10-22,2024-10-22,2024-10-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000225,,2024-10-22,2024-10-22,2024-10-22,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000229,,2024-10-24,2024-10-24,2024-10-24,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000242,,2024-10-31,2024-10-31,2024-10-31,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000247,,2024-10-31,2024-10-31,2024-10-31,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000250,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000251,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000252,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000253,,2024-11-04,2024-11-04,2024-11-04,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000254,,2024-11-05,2024-11-05,2024-11-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000255,,2024-11-05,2024-11-05,2024-11-05,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000256,,2024-11-06,2024-11-06,2024-11-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000258,,2024-11-06,2024-11-06,2024-11-06,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000265,,2024-11-08,2024-11-08,2024-11-08,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000269,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000270,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
10000271,,2024-11-09,2024-11-09,2024-11-09,USD,1.0000,LOCAL,,,,,,,PENDIENTE,0.00
